source,target,value
Africa,China,5
Africa,Iran,1
Africa,Japan,3
Africa,Poland,1
Africa,Russia,3
Argentina,India,5
Argentina,Japan,1
Argentina,Spain,3
Australia,Germany,1
Brazil,China,10
Brazil,France,1
Brazil,India,5
Brazil,Iran,4
Canada,Poland,4
Canada,Russia,3
China,France,5
China,India,9
China,Iran,1
China,Italy,10
China,Japan,20
China,Mexico,4
China,Poland,3
China,Russia,5
France,Germany,12
France,Japan,4
France,Mexico,1
France,Poland,5
France,Russia,3
Germany,Italy,14
Germany,Japan,9
Germany,Poland,4
Germany,Russia,3
Germany,Spain,6
India,Italy,5
India,Russia,3
India,Spain,1
Iran,Poland,9
Iran,Russia,6
Italy,Poland,1
Italy,Russia,2
Japan,Russia,5
Mexico,Russia,3
